episode,agent,decision,car_wait,bike_wait,ped_wait,car_queue,bike_queue,ped_queue,reward_mean,reward_min,reward_max,epsilon,mean_q
1,MPLight_MM,223,3696.5,21200.5,49.5,65.0,41.0,3.0,-126.22,-126.22,-126.22,,
1,MPLight_MM,224,3914.5,21610.5,59.5,63.0,41.0,2.0,-121.129,-121.129,-121.129,,
1,MPLight_MM,225,4137.5,22020.5,1.0,65.0,41.0,2.0,-126.22,-126.22,-126.22,,
1,MPLight_MM,226,4355.0,22430.5,0.0,64.0,41.0,3.0,-128.311,-128.311,-128.311,,
1,MPLight_MM,227,3909.0,20925.5,0.5,62.0,39.0,2.0,-123.777,-123.777,-123.777,,
1,MPLight_MM,228,3156.0,19116.0,9.5,59.0,36.0,8.0,-132.431,-132.431,-132.431,,
1,MPLight_MM,229,1148.5,19414.5,27.5,50.0,37.0,7.0,-118.516,-118.516,-118.516,,
1,MPLight_MM,230,1038.0,17875.0,35.0,49.0,35.0,3.0,-102.618,-102.618,-102.618,,
1,MPLight_MM,231,1100.0,18190.0,2.0,52.0,34.0,1.0,-107.442,-107.442,-107.442,,
1,MPLight_MM,232,1252.5,18532.0,0.5,59.0,35.0,2.0,-112.618,-112.618,-112.618,,
1,MPLight_MM,233,1506.0,18882.0,12.5,63.0,35.0,3.0,-116.618,-116.618,-116.618,,
1,MPLight_MM,234,1787.5,19232.0,27.5,64.0,35.0,4.0,-120.709,-120.709,-120.709,,
1,MPLight_MM,235,1454.5,16635.0,42.5,57.0,31.0,3.0,-108.641,-108.641,-108.641,,
1,MPLight_MM,236,1192.0,15389.5,59.5,56.0,33.0,5.0,-116.357,-116.357,-116.357,,
1,MPLight_MM,237,1060.0,14023.0,72.5,54.0,33.0,5.0,-111.266,-111.266,-111.266,,
1,MPLight_MM,238,886.0,12651.0,91.0,46.0,31.0,8.0,-113.096,-113.096,-113.096,,
1,MPLight_MM,239,775.0,12961.5,111.0,43.0,32.0,10.0,-117.545,-117.545,-117.545,,
1,MPLight_MM,240,766.5,11636.0,0.0,43.0,29.0,3.0,-101.38,-101.38,-101.38,,
1,MPLight_MM,241,921.5,11927.5,1.5,51.0,30.0,11.0,-126.102,-126.102,-126.102,,
1,MPLight_MM,242,1152.0,12227.5,17.5,58.0,30.0,13.0,-136.193,-136.193,-136.193,,
1,MPLight_MM,243,1416.5,12527.5,34.0,61.0,30.0,6.0,-120.647,-120.647,-120.647,,
1,MPLight_MM,244,1556.0,12827.5,60.0,63.0,30.0,8.0,-125.738,-125.738,-125.738,,
1,MPLight_MM,245,1680.0,13138.0,95.5,66.0,36.0,11.0,-145.613,-145.613,-145.613,,
1,MPLight_MM,246,1985.5,13514.0,142.5,75.0,43.0,10.0,-160.391,-160.391,-160.391,,
